STA_SEQ,Station_Na,YLat,XLong,MinOfNomin,CountOfNom,HydroID
16346,Norwalk River,41.1703,-73.4172,4,1,102001342
14599,Mashamoquet Brook,41.8499,-71.9359,3,2,109002775
16090,North Branch Park River,41.7672,-72.7033,5,1,106003163
14555,Norwalk River,41.1639,-73.4193,5,1,102001240
14301,Mill River,41.3828,-72.8967,3,2,104000807
16412,Mill River,41.3925,-72.891,4,2,104000807
16414,Mill River,41.4038,-72.894,4,2,104000807
16411,Mill River,41.3893,-72.893,4,1,104000807
16413,Mill River,41.3972,-72.8928,4,3,104000807
14590,Bigelow Brook,41.8671,-72.0921,2,2,107002379
14482,West Branch Naugatuck River,41.8181,-73.1441,4,6,103006502
14462,Still River,41.3923,-73.4348,5,1,103014877
14585,Skungamaug River,41.7659,-72.3927,3,1,107001206
19639,Skungamaug River,41.76335,-72.39306,4,1,107001206
14283,Mad River,41.9199,-73.0597,3,3,105001793
14439,Salmon Creek (Salmon Kill),41.9337,-73.3908,4,3,103004077
14469,Tankerhoosen River,41.8201,-72.5033,4,4,106003361
14242,Hockanum River,41.8195,-72.5035,4,2,106003361
14361,Norwalk River,41.1359,-73.426,5,7,102000914
15857,Mill River,41.1521,-73.2726,5,1,102000817
14589,Still River,41.8716,-72.0877,2,1,107002376
16323,Coginchaug River,41.5394,-72.6858,4,1,106002178
19699,Rippowam River,41.066398,-73.55384,5,1,102000017
14432,Rippowam River,41.0661,-73.5484,5,2,102000017
14583,Middle River,41.9525,-72.3039,3,8,107003214
14708,Middle River,41.9519,-72.3084,4,1,107003214
14843,Sandy Brook,41.9904,-73.058,2,1,105002101
14277,Little River,41.6393,-72.0582,3,4,107000331
14591,Mount Hope River,41.7971,-72.1716,3,4,107001603
15250,Mattabesset River,41.6383,-72.7333,5,2,106002731
14276,Little River,41.928,-71.9315,3,1,109002372
14442,Sandy Brook,41.974,-73.0406,2,11,105000742
16243,Fivemile River,41.918,-71.83,3,1,109002423
