STA_SEQ,Station_Na,YLat,XLong,BCG,CountOfNom,HydroID,Strahler,StrMi,SqMi,Dam,Div,ICCnt,ICSum,POTW,IC_Avg,SD_Pct,Q99,DIV_CFS,POTW_CFS,DivQ99,POTWQ99,DamStrMi,ICMetric,DIVMetric,DAMMetric,STPMetric,SumMetric,HSI
14263,Kahn Brook,41.5681,-72.1702,4,3,108000399,2,5.425859,1.702051,0.0,0.0,4896.0,6292.0,0.0,1.2851307189499999,15.805246287200001,0.06722951753999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
16116,Kettle Brook,41.9324,-72.9442,2,1,105001830,3,4.77,1.73727,0.0,0.0,5160.0,437.0,0.0,0.08468992248,1.7268472948900002,0.0225957999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
16111,Beaver Meadow Brook,41.4552,-72.5288,3,1,106001310,2,4.73,1.75,0.0,0.0,5175.0,5136.0,0.0,0.99246376812,18.5532027457,0.07538329041,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
16015,Murphy Brook,41.7828,-72.0398,2,1,107001450,3,6.500099,1.769619,0.0,0.0,5099.0,700.0,0.0,0.13728181996,10.686660829,0.05787334176,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
15011,Crooked Brook,41.5999,-71.9067,3,1,109003940,2,4.359643,1.782345,0.0,0.0,5129.0,2445.0,0.0,0.47670111133000004,6.52055786995,0.04551812257,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
15017,Fivemile Brook,41.3846,-73.1597,3,1,103016986,2,5.294482407,1.798038483,0.0,0.0,5471.0,8164.0,0.0,1.4922317675,2.235850724,0.02683278714,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
19020,Moosehorn Brook,41.570871000000004,-73.32709100000001,3,1,103012935,2,3.73,1.85,0.0,0.0,5449.0,3786.0,0.0,0.6948063864899999,5.94594594595,0.04546197422,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
16322,Ogden Brook,41.8456,-72.4816,4,2,106003539,2,4.01,1.85,0.0,0.94,5377.0,100100.0,0.0,18.6163288079,17.297297297300002,0.07784717193,1.454394931,0.0,18.682694501500002,0.0,0.0,3.0,3.0,1.0,1.0,8.0,2.0
14999,North Running Brook,41.9645,-71.9657,3,1,109002217,2,3.490741,1.880713,0.0,0.0,5413.0,6745.0,0.0,1.24607426566,6.435278164,0.04826478107,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
17708,Silver Brook,41.2722,-73.0008,5,1,104002139,2,5.440635,1.912154,0.0,0.0,5500.0,72083.0,0.0,13.106,0.28528036968000003,0.01024984652,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,6.0,2.0
